,,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price,avg_price
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
origin_state,destination,,,,,,,,,,,,,,,,
CA,"San Diego, CA",30.0,7335.633333333333,2029.062370233811,3219.0,6310.0,7200.5,8536.0,10797.0,30.0,171.40892330030627,23.854520676012314,131.06522159295216,156.40447018357065,164.10176942889473,175.50859692415185,224.96945374353064
CA,"San Francisco, CA (Metropolitan Area)",30.0,96194.53333333334,21660.259720373226,32605.0,88554.0,102444.0,108009.5,126667.0,30.0,174.3249989967323,12.954369683561819,152.11524702193412,167.0973566515075,172.36200690628286,178.92468690367676,204.8746890778535
CA,"Santa Barbara, CA",18.0,857.2777777777778,408.5766981860977,164.0,675.0,819.0,1221.25,1351.0,18.0,242.127361246755,42.113325431543444,181.14824515453117,209.66030758481787,238.56231889749427,276.8428797468355,310.1170400882065
CA,"Santa Rosa, CA",19.0,1131.5263157894738,615.2633915126696,346.0,742.0,939.0,1349.5,2681.0,19.0,187.5467165045703,15.957223526229223,163.5738895228435,173.09750808347587,188.01198856354137,199.99217035957997,211.91525522634106
CA,"Savannah, GA",6.0,421.5,240.44770741265137,186.0,206.0,406.0,594.0,735.0,6.0,406.57950386132796,46.23943477995926,358.78482915619696,369.59461035425716,396.37962404658833,443.891685301531,467.5376344086022
CA,"Seattle, WA",30.0,58092.76666666667,13531.642841065564,27076.0,51356.25,54537.5,68205.0,84653.0,30.0,221.0673371104836,20.685027255216465,176.24430845007183,205.21329330094147,221.51872005664825,235.43640122969157,260.57670536957534
CA,"Spokane, WA",30.0,5311.733333333334,1021.1632627525348,3309.0,4794.25,5237.0,5853.5,7495.0,30.0,242.95172678343522,24.22726192941128,195.49895429232245,225.9819270598151,241.840227311246,254.8446618503187,289.22681795238793
CA,"Springfield, MO",4.0,174.0,37.12142238654117,135.0,153.75,169.0,189.25,223.0,4.0,291.1773617859885,87.75234234182527,219.2305727422376,238.22330583616179,264.4894372008582,317.44349315068496,416.5
CA,"St. Louis, MO",30.0,8617.2,1638.3556600950592,3552.0,8490.5,9008.5,9398.0,10270.0,30.0,356.4675659173973,54.498827547936806,273.9735363397265,330.16640933782276,344.5088610849437,370.1594634781993,481.6527288571833
CA,"Syracuse, NY",21.0,315.4761904761905,203.9518617339933,31.0,182.0,235.0,362.0,830.0,21.0,453.4661243802825,66.3342241817774,347.2278481012658,402.699228289538,446.75324675324674,470.96363636363634,582.1145431145432
CA,"Tampa, FL (Metropolitan Area)",30.0,6354.466666666666,1276.8336303294293,3282.0,5815.5,6203.0,7130.75,9065.0,30.0,382.75216133955587,52.85882193971908,300.2001534854775,338.51790699325,373.0416184658411,415.7248092636058,505.123462223961
CA,"Tucson, AZ",30.0,6155.033333333334,1838.1233961680127,1798.0,5803.0,6447.0,7302.0,9124.0,30.0,206.7624213007639,24.320512637657455,170.32819439616884,184.3564071758986,206.71142228008222,228.20744205730296,253.16753372580342
CA,"Tulsa, OK",30.0,1578.2666666666667,510.1110043721946,676.0,1209.0,1563.5,1847.25,2687.0,30.0,327.1909720439816,47.324605139260484,240.2528281844737,300.50667680264957,330.8487426430132,352.4655989634619,425.27278536081354
CA,"Washington, DC (Metropolitan Area)",30.0,39359.46666666667,8220.362328340241,15813.0,35957.75,42035.0,43544.25,50432.0,30.0,444.940714916833,86.33346927392088,326.9201073944127,396.582618122183,426.13859958239357,457.53787545570447,623.9428394152379
CA,"West Palm Beach/Palm Beach, FL",30.0,866.2333333333333,503.8587434324558,165.0,376.25,799.0,1268.0,1815.0,30.0,422.5554154309812,71.87495053244287,321.38164606477864,368.3669750941475,419.9034849415184,450.85991928964273,629.7288669064748
CA,"Wichita, KS",24.0,546.6666666666666,220.82703573191603,126.0,399.75,607.5,753.25,838.0,24.0,345.2936934711556,65.65583480755635,234.5801687763713,309.15060410217285,334.4168400607392,369.54830692855967,462.9465004544864
CO,"Chicago, IL",4.0,126.25,17.53805386390786,105.0,117.75,126.5,135.0,147.0,4.0,382.8275210023769,63.063063163463255,289.1927710843374,377.8849274649619,407.70448979591833,412.6470833333333,426.7083333333333
CO,"Dallas/Fort Worth, TX",30.0,1131.7333333333333,488.4304159902082,424.0,831.0,930.5,1226.5,2686.0,30.0,274.9298115599397,44.26904491969341,184.91118144218663,253.80507687614875,277.4373700061701,310.9524645457554,347.6707270518827
CO,"Denver, CO",6.0,229.16666666666666,152.02028373433154,151.0,158.0,168.5,188.0,538.0,6.0,255.69899960311386,36.13564324639361,199.73493649318465,250.42911764705883,254.26999999999998,261.33962264150944,313.0740740740741
CO,"Des Moines, IA",23.0,804.1304347826087,451.33743719465457,149.0,471.0,924.0,1059.0,1638.0,23.0,266.35106929041416,75.15685381247758,169.22426400759736,216.02552285498024,254.14925373134326,302.76150301196094,463.88
CO,"Detroit, MI",30.0,3450.1,1087.9406788468089,1829.0,2385.75,3366.5,4568.5,5256.0,30.0,306.6607163783669,101.51055481312379,204.8683740555392,247.7649139715549,265.92219405540857,314.2226140064703,530.6342223125066
CO,"Durango, CO",3.0,227.33333333333334,111.5093419105921,149.0,163.5,178.0,266.5,355.0,3.0,205.80194979089333,15.801487384806624,192.58571428571432,197.0507507732965,201.5157872608787,212.41006754348285,223.30434782608697
CO,"El Paso, TX",15.0,723.6,430.7642378046587,131.0,415.0,708.0,872.0,1452.0,15.0,225.81101802681977,50.15104297960161,164.82572696663604,179.7616159495871,224.07082549634276,268.8267063058138,303.59183673469386
CO,"Eugene, OR",1.0,231.0,,231.0,231.0,231.0,231.0,231.0,1.0,238.36559139784947,,238.36559139784947,238.36559139784947,238.36559139784947,238.36559139784947,238.36559139784947
CO,"Fargo, ND",6.0,238.66666666666666,105.36539596407668,71.0,192.25,245.0,316.5,356.0,6.0,218.7770954207572,24.88012419100796,191.72916666666669,203.03273558368494,210.62070707070706,235.737728207858,255.0785113748764
CO,"Fayetteville, AR",1.0,486.0,,486.0,486.0,486.0,486.0,486.0,1.0,188.14006772976683,,188.14006772976683,188.14006772976683,188.14006772976683,188.14006772976683,188.14006772976683
